constant,soil_moisture,temperature,humidity,water
50,67,30,26,70
50,70,25,72,30
50,72.66666667,25,63,0
50,65.66666667,25,62,75
50,67,26,62,55
50,68.66666667,27,56,100
50,66.66666667,28,45,65
50,69.66666667,26,69,25
50,66,26,62,80
50,65.66666667,25,65,50
50,63,26,59,90
50,65,27,40,50
50,64.6,26,57,50
50,65.3,27,57,50
50,58.6,28,45,100
50,65,28,51,45
50,64,27,57,55
50,64,26,69,55
50,67,26,64,40
50,59.6,28,54,90
50,61.6,29,49,80
50,54.66666667,31,45,120
50,62,28,72,75
50,60,28,72,90
50,64.33333333,29,63,55
50,64,29,68,60
50,63,29,72,60
50,60.66666667,28,65,90
50,65.33333333,27,71,45
50,61,28,71,90
50,64,29,70,50
50,59,28,80,100
50,61,28,74,90
50,65,29,66,50
50,67,29,63,25
